model,degradation,level,variant,n,accuracy,balanced_acc,f1_macro,kappa_qw,acc_ci_lo,acc_ci_hi,kappa_ci_lo,kappa_ci_hi,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4
resnet50,exposure,high,genai,440,0.5568181818181818,0.28739428921247107,0.2661946994901017,0.3588073804507438,0.509090909090909,0.6045454545454545,0.2691731850641952,0.4382037493852049,0.9814814814814815,0.0,0.19834710743801653,0.0,0.2571428571428571
resnet50,exposure,high,cold_diff,440,0.615909090909091,0.33595832216385574,0.33180396415672386,0.5033190930003286,0.5704545454545454,0.6590909090909091,0.4177265437964602,0.5825536504784854,0.9907407407407407,0.0,0.3884297520661157,0.043478260869565216,0.2571428571428571
resnet50,exposure,high,swinir_gan,440,0.5909090909090909,0.33941124970769243,0.3177946427394437,0.46550229158924805,0.5454545454545454,0.6363636363636364,0.3776039240333072,0.5487380803156843,0.9305555555555556,0.0,0.38016528925619836,0.043478260869565216,0.34285714285714286
resnet50,exposure,high,ddpm,440,0.1,0.20623901351174076,0.07818320310580372,0.01108715737603927,0.07045454545454545,0.12954545454545455,-0.031960573756088954,0.05437573579185116,0.0,0.2222222222222222,0.06611570247933884,0.0,0.7428571428571429
resnet50,exposure,high,ddpm_path,440,0.5568181818181818,0.29352026761117667,0.2701534351061395,0.36676735664058646,0.5135795454545455,0.6045454545454545,0.28117374306476617,0.4550367745058716,0.9861111111111112,0.022222222222222223,0.17355371900826447,0.0,0.2857142857142857
resnet50,noise,low,raw,440,0.75,0.487866582253934,0.4972501090258631,0.8127763358679065,0.7090909090909091,0.7863636363636364,0.7661978361722674,0.8529952885981731,1.0,0.08888888888888889,0.7355371900826446,0.043478260869565216,0.5714285714285714
resnet50,noise,low,clahe,440,0.7318181818181818,0.47098252428291953,0.4916884541400113,0.7455991964899297,0.6908522727272728,0.7704545454545455,0.6843399159890625,0.7965234487475898,0.9861111111111112,0.044444444444444446,0.7355371900826446,0.21739130434782608,0.37142857142857144
resnet50,noise,low,genai,440,0.6681818181818182,0.3804538895447986,0.3788137675332798,0.6253195390607225,0.6227272727272727,0.7091477272727272,0.5488798562824331,0.6960726240706622,1.0,0.022222222222222223,0.5371900826446281,0.0,0.34285714285714286
resnet50,noise,low,cold_diff,440,0.6295454545454545,0.36721001659736835,0.35414148323177047,0.5360558918507422,0.584034090909091,0.6704545454545454,0.44930024957247816,0.6108570498590036,0.9583333333333334,0.0,0.4628099173553719,0.043478260869565216,0.37142857142857144
resnet50,noise,low,swinir_gan,440,0.6431818181818182,0.39221941797040605,0.36761830380165245,0.5602001933685947,0.5977272727272728,0.6840909090909091,0.46854463631668436,0.6391203030697147,0.9398148148148148,0.0,0.5206611570247934,0.043478260869565216,0.45714285714285713
